Month,Free_Users,Paid_Users,Basic_Rev,Plus_Rev,Premium_Rev,Total_Rev,API_COGS,Hosting,Marketing_Spend,Net_Income,Cumulative_Net
1,500,25,11.88,89.91,119.96,221.75,3.00,20.00,50.00,-851.25,-851.25
2,700,35,17.82,119.88,149.95,287.65,4.02,20.00,50.00,213.63,-637.62
3,900,45,21.78,159.84,209.93,391.55,5.34,20.00,50.00,316.21,-321.41
4,1100,55,27.72,189.81,239.92,457.45,6.36,20.00,100.00,331.09,9.68
5,1300,65,31.68,229.77,299.90,561.35,7.68,20.00,100.00,433.67,443.35
6,1500,75,37.62,259.74,329.89,627.25,8.70,20.00,100.00,498.55,941.90
7,1750,123,61.38,429.57,539.82,1030.77,14.28,20.00,200.00,796.49,1738.39
8,2000,140,69.30,489.51,629.79,1188.60,16.38,20.00,200.00,952.22,2690.61
9,2250,158,78.21,549.45,719.76,1347.42,18.54,20.00,200.00,1108.88,3799.49
10,2500,175,87.12,609.39,779.74,1476.25,20.40,20.00,200.00,1235.85,5035.34
11,2750,193,95.04,679.32,869.71,1644.07,22.62,20.00,200.00,1401.45,6436.79
12,3000,210,103.95,739.26,929.69,1772.90,24.48,20.00,200.00,1528.42,7965.21
13,3150,252,124.74,879.12,1139.62,2143.48,29.52,20.00,350.00,1743.96,9709.17
14,3300,264,130.68,919.08,1199.60,2249.36,30.96,20.00,350.00,1848.40,11557.57
15,3450,276,136.62,969.03,1229.59,2335.24,32.22,20.00,350.00,1933.02,13490.59
16,3600,288,142.56,1008.99,1289.57,2441.12,33.66,20.00,350.00,2037.46,15528.05
17,3750,300,148.50,1048.95,1349.55,2547.00,35.10,20.00,350.00,2141.90,17669.95
18,3900,312,154.44,1088.91,1409.53,2652.88,36.54,20.00,350.00,2246.34,19916.29
19,4050,324,160.38,1128.87,1469.51,2758.76,37.98,20.00,500.00,2200.78,22117.07
20,4200,336,166.32,1178.82,1499.50,2844.64,39.24,20.00,500.00,2285.40,24402.47
21,4350,348,172.26,1218.78,1559.48,2950.52,40.68,20.00,500.00,2389.84,26792.31
22,4500,360,178.20,1258.74,1619.46,3056.40,42.12,20.00,500.00,2494.28,29286.59
23,4650,372,184.14,1298.70,1679.44,3162.28,43.56,20.00,500.00,2598.72,31885.31
24,4800,384,190.08,1338.66,1739.42,3268.16,45.00,20.00,500.00,2703.16,34588.47
